ACCIDENT REF,BOROUGH,BORO,EASTING,NORTHING,CREFNO,CASUALTY CLASS,CASUALTY SEX,CASUALTY AGE (BANDED),CASUALTY AGE,NO. OF CASUALTIES,CASUALTY SEVERITY,PED LOCATION,PED MOVEMENT,MODE OF TRAVEL,ACCIDENT DATE
1180137853,CITY OF LONDON,0,533740,181260,1,3 Pedestrian,1 Male,25-59,37,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/9
1180141705,CITY OF LONDON,0,531371,181575,1,3 Pedestrian,1 Male,0-15,0,1,2,08 In Centre Of Carriageway,1 From Drivers N/Side,1 Pedestrian,2018/10/27
1180142810,CITY OF LONDON,0,531250,181590,1,3 Pedestrian,2 Female,16-24,23,1,2,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/1
48180815498,CITY OF LONDON,0,533250,181530,1,3 Pedestrian,1 Male,25-59,42,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/3
48180815515,CITY OF LONDON,0,532440,180820,1,3 Pedestrian,2 Female,16-24,22,1,2,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian,2018/10/6
48180820357,CITY OF LONDON,0,532740,181070,2,3 Pedestrian,1 Male,60+,77,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/11/1
48180820486,CITY OF LONDON,0,531380,181530,1,3 Pedestrian,1 Male,25-59,36,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/10/9
48180820497,CITY OF LONDON,0,532460,181500,1,3 Pedestrian,2 Female,25-59,43,1,1,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian,2018/11/13
48180820521,CITY OF LONDON,0,532480,181040,2,3 Pedestrian,2 Female,25-59,39,1,1,01 Crossing Road On Ped Xing,2 From Drivers N/Side Msk,1 Pedestrian,2018/11/19
48180820675,CITY OF LONDON,0,532630,181120,1,3 Pedestrian,1 Male,25-59,29,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/1
48180820677,CITY OF LONDON,0,533310,181640,1,3 Pedestrian,1 Male,25-59,43,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/1
48180820761,CITY OF LONDON,0,533300,180980,1,3 Pedestrian,2 Female,25-59,27,1,1,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,2018/12/7
48180820813,CITY OF LONDON,0,532850,180740,1,3 Pedestrian,1 Male,25-59,33,1,1,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian,2018/12/21
48180820857,CITY OF LONDON,0,531300,181350,1,3 Pedestrian,1 Male,25-59,29,1,1,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian,2018/12/20
1180136147,WESTMINSTER,1,529480,179260,1,3 Pedestrian,1 Male,0-15,13,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/1
1180136147,WESTMINSTER,1,529480,179260,2,3 Pedestrian,2 Female,25-59,43,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/1
1180136520,WESTMINSTER,1,528010,179650,1,3 Pedestrian,2 Female,25-59,28,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/3
1180136645,WESTMINSTER,1,529520,180620,1,3 Pedestrian,2 Female,60+,79,1,1,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,2018/10/3
1180136867,WESTMINSTER,1,529240,178790,2,3 Pedestrian,2 Female,25-59,38,1,1,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian,2018/10/4
1180136954,WESTMINSTER,1,526690,180750,2,3 Pedestrian,1 Male,25-59,37,1,1,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,2018/10/4
1180137067,WESTMINSTER,1,528908,181206,1,3 Pedestrian,1 Male,16-24,17,1,1,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian,2018/10/5
1180137285,WESTMINSTER,1,529340,181200,1,3 Pedestrian,2 Female,25-59,32,1,1,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian,2018/10/6
