_COLLISION ID,BOROUGH NAME,BOROUGH NUMBER,EASTING,NORTHING,_CASUALTY ID,_CASUALTY CLASS,CASUALTY GENDER,CASUALTY AGE (5 YEAR BANDS),CASUALTY AGE,_CASUALTY COUNT,_CASUALTY SEVERITY,PEDESTRIAN LOCATION,PEDESTRIAN MOVEMENT,CASUALTY MODE OF TRAVEL,_COLLISION DATE
1220402124,Newham,17,540187,181751,1,Pedestrian,Male,35-39,36.0,1,Serious,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-01
1220402131,Lambeth,9,530068,171245,1,Pedestrian,Male,30-34,33.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-01
1220402134,Camden,2,530461,183005,1,Pedestrian,Male,25-29,27.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-01
1220402176,Islington,3,532731,182621,1,Pedestrian,Male,5-Sep,5.0,1,Slight,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian,2022-10-01
1220402213,Southwark,8,533837,175105,1,Pedestrian,Female,45-49,49.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-01
1220402275,Islington,3,531341,184541,1,Pedestrian,Female,75-79,75.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-01
1220402282,Lambeth,9,531025,175351,1,Pedestrian,Male,14-Oct,10.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-01
1220402290,Tower Hamlets,5,537649,181666,1,Pedestrian,Male,40-44,41.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-01
1220402311,Wandsworth,10,526124,172767,1,Pedestrian,Male,25-29,28.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-01
1220402361,Greenwich,6,541452,174623,1,Pedestrian,Male,80-84,80.0,1,Slight,Crossing Road Within 50m Xing,From Drivers O/Side,Pedestrian,2022-10-02
1220402362,Hounslow,25,516208,175770,1,Pedestrian,Female,60-64,62.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-02
1220402362,Hounslow,25,516208,175770,2,Pedestrian,Male,60-64,60.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-02
1220402396,Brent,28,522201,184586,1,Pedestrian,Female,55-59,56.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-01
1220402422,Haringey,31,531629,189286,1,Pedestrian,Male,65-69,68.0,1,Slight,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian,2022-10-02
1220402435,Hammersmith & Fulham,11,522576,180702,1,Pedestrian,Male,45-49,48.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-01
1220402441,Barnet,30,523851,187882,1,Pedestrian,Female,40-44,44.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-02
1220402452,Tower Hamlets,5,535931,183408,1,Pedestrian,Female,25-29,25.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-02
1220402468,Camden,2,525994,183763,1,Pedestrian,Male,14-Oct,10.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-02
1220402492,Waltham Forest,13,538850,185595,1,Pedestrian,Male,20-24,22.0,1,Slight,In Centre Of Carriageway,In Rd Not Crossing Msk,Pedestrian,2022-10-03
1220402519,Ealing,27,519939,180154,1,Pedestrian,Female,60-64,62.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-03
1220402551,Waltham Forest,13,538004,186693,1,Pedestrian,Male,25-29,27.0,1,Slight,In Road - Not Crossing,In Rd Not Crossing,Pedestrian,2022-10-03
1220402571,Ealing,27,517733,180634,1,Pedestrian,Female,45-49,49.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-01
1220402597,Tower Hamlets,5,537687,181895,1,Pedestrian,Female,5-Sep,8.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-03
1220402659,Camden,2,525660,185330,1,Pedestrian,Female,75-79,77.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-03
1220402671,Kensington & Chelsea,12,525287,178963,2,Pedestrian,Male,55-59,57.0,1,Serious,Crossing Road On Ped Xing,Unknown Or Other,Pedestrian,2022-10-03
1220402676,Tower Hamlets,5,534033,181444,1,Pedestrian,Male,50-54,54.0,1,Slight,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-04
1220402681,Barnet,30,524885,186678,1,Pedestrian,Female,40-44,41.0,1,Slight,In Road - Not Crossing,In Rd Back To Traffic,Pedestrian,2022-10-02
1220402716,Kensington & Chelsea,12,527443,179346,1,Pedestrian,Female,75-79,78.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-02
1220402718,Kensington & Chelsea,12,524977,178877,1,Pedestrian,Female,35-39,38.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-04
1220402718,Kensington & Chelsea,12,524977,178877,2,Pedestrian,Male,0-4,3.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-04
1220402725,Bromley,19,538375,166537,1,Pedestrian,Male,55-59,59.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-03
1220402728,Lambeth,9,531885,172418,1,Pedestrian,Male,14-Oct,11.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-04
1220402754,Bromley,19,540390,169382,1,Pedestrian,Female,30-34,33.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-04
1220402769,Hounslow,25,509358,173946,1,Pedestrian,Male,55-59,55.0,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-04
1220402799,Redbridge,14,540583,190782,1,Pedestrian,Male,40-44,43.0,1,Slight,In Centre Of Carriageway,From Drivers N/Side,Pedestrian,2022-10-04
1220402807,Barnet,30,526492,190856,1,Pedestrian,Female,14-Oct,11.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-04
1220402809,Lambeth,9,532121,175988,1,Pedestrian,Male,5-Sep,5.0,1,Slight,Crossing Road Within 50m Xing,From Drivers O/Side,Pedestrian,2022-10-04
1220402819,Ealing,27,515995,182409,2,Pedestrian,Male,35-39,38.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-04
1220402848,Southwark,8,535801,178751,1,Pedestrian,Male,14-Oct,12.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-04
1220402867,Greenwich,6,543638,178855,1,Pedestrian,Male,50-54,52.0,1,Slight,In Road - Not Crossing,In Rd Facing Traffic,Pedestrian,2022-10-05
1220402903,Hounslow,25,514208,175841,1,Pedestrian,Male,0-4,2.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-05
1220402921,Hillingdon,26,507684,185268,1,Pedestrian,Female,15-19,16.0,1,Serious,Crossing Road Within 50m Xing,From Drivers O/Side,Pedestrian,2022-10-05
1220402974,Barnet,30,519139,191735,1,Pedestrian,Male,14-Oct,13.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-05
1220402976,Newham,17,542645,185873,1,Pedestrian,Female,85-89,87.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-05
1220402996,Harrow,29,514450,189450,1,Pedestrian,Male,75-79,77.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-05
1220403023,Merton,22,527928,170059,1,Pedestrian,Female,65-69,67.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-05
1220403036,Haringey,31,534988,190604,1,Pedestrian,Male,45-49,45.0,1,Slight,In Road - Not Crossing,In Rd Not Crossing Msk,Pedestrian,2022-10-05
1220403036,Haringey,31,534988,190604,2,Pedestrian,Male,40-44,40.0,1,Serious,In Road - Not Crossing,In Rd Not Crossing,Pedestrian,2022-10-05
1220403063,Westminster,1,525327,182004,1,Pedestrian,Female,50-54,50.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-06
1220403084,Bromley,19,541397,164327,1,Pedestrian,Female,45-49,49.0,1,Slight,In Road - Not Crossing,Unknown Or Other,Pedestrian,2022-10-06
1220403097,Brent,28,518858,185238,1,Pedestrian,Male,45-49,45.0,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-06
1220403127,Harrow,29,518610,190024,1,Pedestrian,Female,20-24,20.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-05
1220403134,Enfield,32,536065,198793,1,Pedestrian,Male,0-4,4.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-06
1220403153,Haringey,31,534048,189082,1,Pedestrian,Male,50-54,53.0,1,Serious,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-06
1220403188,Enfield,32,535412,198155,1,Pedestrian,Female,20-24,20.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-06
1220403193,Bexley,18,548095,177994,1,Pedestrian,Female,20-24,20.0,1,Slight,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-06
1220403193,Bexley,18,548095,177994,2,Pedestrian,Male,20-24,20.0,1,Slight,In Centre Of Carriageway,From Drivers O/Side,Pedestrian,2022-10-06
1220403196,Lambeth,9,530417,176362,1,Pedestrian,Female,65-69,68.0,1,Slight,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-06
1220403200,Barnet,30,521662,192295,1,Pedestrian,Male,15-19,15.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-06
1220403202,Croydon,20,534039,168472,1,Pedestrian,Male,60-64,61.0,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-06
1220403220,Westminster,1,530062,180541,1,Pedestrian,Male,20-24,22.0,1,Slight,Crossing Road Within 50m Xing,From Drivers O/Side Msk,Pedestrian,2022-10-07
1220403227,Croydon,20,532398,164983,1,Pedestrian,Male,35-39,36.0,1,Slight,Crossing Road (Not On Xing),Unknown Or Other,Pedestrian,2022-10-06
1220403228,Redbridge,14,543306,188338,1,Pedestrian,Male,50-54,52.0,1,Slight,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-06
1220403243,Islington,3,531268,186627,1,Pedestrian,Female,20-24,20.0,1,Slight,Crossing Road On Ped Xing,From Drivers O/Side,Pedestrian,2022-10-07
1220403251,Bromley,19,535738,169736,1,Pedestrian,Male,0-4,3.0,1,Slight,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian,2022-10-07
1220403253,Hillingdon,26,507411,182738,1,Pedestrian,Male,14-Oct,11.0,1,Serious,Crossing Road (Not On Xing),Unknown Or Other,Pedestrian,2022-10-06
1220403254,Ealing,27,512397,184935,1,Pedestrian,Male,25-29,26.0,1,Serious,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-07
1220403278,Wandsworth,10,527439,175473,1,Pedestrian,Female,35-39,35.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-02
1220403306,Brent,28,519272,188728,1,Pedestrian,Female,50-54,53.0,1,Slight,Crossing Road Within 50m Xing,From Drivers N/Side Msk,Pedestrian,2022-10-07
1220403313,Haringey,31,534221,191467,1,Pedestrian,Female,20-24,21.0,1,Slight,In Road - Not Crossing,In Rd Facing Traffic,Pedestrian,2022-10-07
1220403328,Merton,22,524647,168608,1,Pedestrian,Female,20-24,22.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-07
1220403339,Islington,3,531298,183126,1,Pedestrian,Male,15-19,18.0,1,Serious,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-07
1220403343,Southwark,8,531652,179878,1,Pedestrian,Female,0-4,3.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side Msk,Pedestrian,2022-10-07
1220403352,Haringey,31,528284,189836,1,Pedestrian,Male,14-Oct,11.0,1,Slight,Unknown Or Other,Unknown Or Other,Pedestrian,2022-10-07
1220403377,Sutton,21,524529,163676,1,Pedestrian,Male,70-74,70.0,1,Serious,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian,2022-10-07
1220403389,Camden,2,529103,184022,1,Pedestrian,Male,55-59,55.0,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side,Pedestrian,2022-10-07
1220403400,Barnet,30,525082,190177,1,Pedestrian,Female,15-19,18.0,1,Serious,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian,2022-10-07
1220403411,Southwark,8,533166,178526,2,Pedestrian,Male,20-24,23.0,1,Serious,In Centre Of Carriageway,From Drivers N/Side,Pedestrian,2022-10-07
1220403476,Brent,28,523905,184295,1,Pedestrian,Female,65-69,69.0,1,Serious,On Footpath - Verge,Unknown Or Other,Pedestrian,2022-10-08
1220403487,Tower Hamlets,5,538018,181012,1,Pedestrian,Male,40-44,41.0,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian,2022-10-07
